,Group name,User Discord id,Discord_user_name,Team Leader for that group,Vice Team Leader for that group,College group,Team leader discord id,Vice team leader discord id
,,765492890746617867,Anshul#5085,N30N#0954,Inzii#6004,,743719337109749841,400853386611785728
,,809130573851131945,Ishita#9653,N30N#0954,Inzii#6004,,743719337109749841,400853386611785728
,,709241874682085446,mohit#5330,N30N#0954,Inzii#6004,,743719337109749841,400853386611785728
,,709241874682085446,aditi_jindal#4424,N30N#0954,Inzii#6004,,743719337109749841,400853386611785728
,,743719337109749841,N30N#0954,N30N#0954,Inzii#6004,,743719337109749841,400853386611785728
,,717599124429733918,NamanNarula#1631,N30N#0954,Inzii#6004,,743719337109749841,400853386611785728
,,815212149521252352,Aniket#9416,N30N#0954,Inzii#6004,,743719337109749841,400853386611785728
,,400853386611785728,Inzii#6004,N30N#0954,Inzii#6004,,743719337109749841,400853386611785728
,,811569806389936128,akshitMadaan#9545,N30N#0954,Inzii#6004,,743719337109749841,400853386611785728
,,819617958598803476,vinaya#9488,N30N#0954,Inzii#6004,,743719337109749841,400853386611785728
,,510654134454714376,manikanth1811#7545,N30N#0954,Inzii#6004,,743719337109749841,400853386611785728
,,,,,,,,
7,Dauntless On Mission (DOM) Team,,,,,,,
,,691270662563561534,S2R2#2201,S2R2#2201,Srujan#9835,,691270662563561534,808730243602186270
,,743824877315686491,Klaus#6420,S2R2#2201,Srujan#9835,,691270662563561534,808730243602186270
,,697816895755387042,PraveenVerma#8573,S2R2#2201,Srujan#9835,,691270662563561534,808730243602186270
,,757242233647792139,Hardik_Agarwal(P)#9036,S2R2#2201,Srujan#9835,,691270662563561534,808730243602186270
,,796281628988538920,SRP#4007,S2R2#2201,Srujan#9835,,691270662563561534,808730243602186270
,,808730243602186270,Srujan#9835,S2R2#2201,Srujan#9835,,691270662563561534,808730243602186270
,,811412796192849931,nashir#8353,S2R2#2201,Srujan#9835,,691270662563561534,808730243602186270
,,549746698667294721,Sushi#1609,S2R2#2201,Srujan#9835,,691270662563561534,808730243602186270
,,652838959524741141,SWARAJSP#7099,S2R2#2201,Srujan#9835,,691270662563561534,808730243602186270
,,756542906172440647,Nishant#2879 ,S2R2#2201,Srujan#9835,,691270662563561534,808730243602186270
,,715274138113277953,thedestroyer#7550,S2R2#2201,Srujan#9835,,691270662563561534,808730243602186270
,,518450680281956353,Rajdeep#4262,S2R2#2201,Srujan#9835,,691270662563561534,808730243602186270
,,811631239702380574,pooja#3188,S2R2#2201,Srujan#9835,,691270662563561534,808730243602186270
,,,,,,,,
8,Undefined Team,,,,,,,
,,706820473195069490,Adhikram Maitra#2782,NZEC#8952,TechAkhil#2865,,707070909483057212,689358308712513766
,,689358308712513766,TechAkhil#2865,NZEC#8952,TechAkhil#2865,,707070909483057212,689358308712513766
,,705473446380830754,Nishit#6241,NZEC#8952,TechAkhil#2865,,707070909483057212,689358308712513766
,,691559077414830111,DCtron#0256,NZEC#8952,TechAkhil#2865,,707070909483057212,689358308712513766
